In Buffer 1500,Taxon ID,Gruppe,Trivialname,Taxon,Link zum Taxon,Gemeinde(n),Kanton(e),Fundort,Höhe,Koordx,Koordy,Radius,Räumliche Zusammenfassung,Anzahl,n Nachweise,Jahr,Monat,Tag,Fortpflanzungsnachweis,Herkunft,"Beobachter/in, Sammler/in",ID Beobachtung,Rote Liste,Priorität CH,UZL,WZL,Massnahmebedarf,Monitoring-Bedarf,NHV,SMARAGD,infoflora: Kantonaler Schutzstatus,infoflora: Rote Liste regional,Habitat,Substrat,swisslichens: Ecotyp,Ordnung,Familie,swissfungi: funktionelle Gruppe,Indigenat CH,Standortfremd,Einführung
,infoflora:25200,Gefässpflanzen,Schwarz-Erle,Alnus glutinosa (L.) Gaertn.,www.infoflora.ch/flora/1002840,Altikon,ZH,"Altikon / Höh-Wald, 5180101",375-377,"2701793","1271331","100",A,,,"2009","8","18",,Kanton Zürich,Bertiller René,"8717526",LC,K,,,,,,,Teilweise geschützt,LC,,,,,Betulaceae,,INN,,
x,infoflora:25200,Gefässpflanzen,Schwarz-Erle,Alnus glutinosa (L.) Gaertn.,www.infoflora.ch/flora/1002840,Indéterminé (ZH),ZH,,398-418,"2703500","1268500","707",A,,,"2013",,,,Flora des Kantons Zürich,?,"3958875",LC,K,,,,,,,Teilweise geschützt,LC,,,,,Betulaceae,,INN,,
,infoflora:25200,Gefässpflanzen,Schwarz-Erle,Alnus glutinosa (L.) Gaertn.,www.infoflora.ch/flora/1002840,Indéterminé (ZH),ZH,,375-461,"2702500","1271500","707",A,,,"2017",,,,Flora des Kantons Zürich,Wohlgemuth Thomas,"6354463",LC,K,,,,,,,Teilweise geschützt,LC,,,,,Betulaceae,,INN,,
x,infoflora:25200,Gefässpflanzen,Schwarz-Erle,Alnus glutinosa (L.) Gaertn.,www.infoflora.ch/flora/1002840,Uesslingen-Buch,TG,"Uesslingen-Buch. Uesslingen, Mittelwiide, Weidacker. Kiesgrube","376","2703100","1269950","50",A,,,"1991","9","29",,Naturmuseum Thurgau,Grädel,"6496494",LC,K,,,,,,,,LC,,,,,Betulaceae,,INN,,
x,infoflora:25300,Gefässpflanzen,Grau-Erle,Alnus incana (L.) Moench,www.infoflora.ch/flora/1002850,Altikon,ZH,"Uesslingen-Buch. Uesslingen, Mittelwiide, Älikerbach. Wald","377","2703000","1270000","1000",A,,,"1991","10","16",,Naturmuseum Thurgau,Grädel,"6493888",LC,K,,,,,,,Teilweise geschützt,LC,,,,,Betulaceae,,INN,,
x,infoflora:25300,Gefässpflanzen,Grau-Erle,Alnus incana (L.) Moench,www.infoflora.ch/flora/1002850,Altikon,ZH,"Uesslingen-Buch. Thur S, östlich Uesslingerbrücke. Flussdamm","380","2703000","1270000","1000",A,,,"1991","6","30",,Naturmuseum Thurgau,Grädel,"6482517",LC,K,,,,,,,Teilweise geschützt,LC,,,,,Betulaceae,,INN,,
,infoflora:25300,Gefässpflanzen,Grau-Erle,Alnus incana (L.) Moench,www.infoflora.ch/flora/1002850,Altikon,ZH,"Altikon / Höh-Wald, 5180101",375-377,"2701793","1271331","100",A,,,"2009","8","18",,Kanton Zürich,Bertiller René,"8717524",LC,K,,,,,,,Teilweise geschützt,LC,,,,,Betulaceae,,INN,,
x,infoflora:25300,Gefässpflanzen,Grau-Erle,Alnus incana (L.) Moench,www.infoflora.ch/flora/1002850,Indéterminé (ZH),ZH,,398-418,"2703500","1268500","707",A,,,"2016",,,,Flora des Kantons Zürich,Baumann Sophie,"5355218",LC,K,,,,,,,Teilweise geschützt,LC,,,,,Betulaceae,,INN,,
,infoflora:25700,Gefässpflanzen,Geknieter Fuchsschwanz,Alopecurus geniculatus L.,www.infoflora.ch/flora/1002900,Uesslingen-Buch,TG,"Uesslingen-Buch. Thur S, Chälhoftaal, Biberäuli. Tümpel","380","2705000","1270000","1000",A,,,"1991","6","30",,Naturmuseum Thurgau,Grädel,"6494760",VU,"4",Z,,"1","0",,,,VU,,,,,Poaceae,,INN,,
x,infoflora:26000,Gefässpflanzen,Wiesen-Fuchsschwanz,Alopecurus pratensis L.,www.infoflora.ch/flora/1002920,Indéterminé (ZH),ZH,,398-418,"2703500","1268500","707",A,,,"2016",,,,Flora des Kantons Zürich,Baumann Sophie,"3958876",LC,K,,,,,,,,LC,,,,,Poaceae,,INN,,
