In Buffer 1500,Taxon ID,Gruppe,Trivialname,Taxon,Link zum Taxon,Gemeinde(n),Kanton(e),Fundort,Höhe,Koordx,Koordy,Radius,Räumliche Zusammenfassung,Anzahl,n Nachweise,Jahr,Monat,Tag,Fortpflanzungsnachweis,Herkunft,"Beobachter/in, Sammler/in",ID Beobachtung,Rote Liste,Priorität CH,UZL,WZL,Massnahmebedarf,Monitoring-Bedarf,NHV,SMARAGD,infoflora: Kantonaler Schutzstatus,infoflora: Rote Liste regional,Habitat,Substrat,swisslichens: Ecotyp,Ordnung,Familie,swissfungi: funktionelle Gruppe,Indigenat CH,Standortfremd,Einführung
x,infoflora:21300,Gefässpflanzen,,Alchemilla xanthochlora Rothm.,www.infoflora.ch/flora/1002470,Indéterminé (ZH),ZH,,436-502,"2700500","1274500","707",A,,,"2015",,,,Flora des Kantons Zürich,Zürcherische Botanische Gesellschaft (ZBG),"4800490",LC,K,,,,,,,,NE,,,,,Rosaceae,,INN,,
,infoflora:21900,Gefässpflanzen,Gemeiner Froschlöffel,Alisma plantago-aquatica L.,www.infoflora.ch/flora/1002510,Altikon,ZH,"Altikon / Höh-Wald, 5180101",375-377,"2701793","1271331","100",A,,,"2009","8","18",,Kanton Zürich,Bertiller René,"8717521",LC,K,,,,,,,,LC,,,,,Alismataceae,,INN,,
,infoflora:21900,Gefässpflanzen,Gemeiner Froschlöffel,Alisma plantago-aquatica L.,www.infoflora.ch/flora/1002510,Indéterminé (ZH),ZH,,375-461,"2702500","1271500","707",A,,,"2017",,,,Flora des Kantons Zürich,Wohlgemuth Thomas,"6354460",LC,K,,,,,,,,LC,,,,,Alismataceae,,INN,,
,infoflora:22100,Gefässpflanzen,Knoblauchhederich,Alliaria petiolata (M. Bieb.) Cavara & Grande,www.infoflora.ch/flora/1002520,Indéterminé (ZH),ZH,,372-381,"2700500","1271500","707",A,,,"2012",,,,Flora des Kantons Zürich,Bernowitz Karin,"3434031",LC,K,,,,,,,,LC,,,,,Brassicaceae,,INN,,
x,infoflora:22100,Gefässpflanzen,Knoblauchhederich,Alliaria petiolata (M. Bieb.) Cavara & Grande,www.infoflora.ch/flora/1002520,Indéterminé (ZH),ZH,,436-502,"2700500","1274500","707",A,,,"2015",,,,Flora des Kantons Zürich,Zürcherische Botanische Gesellschaft (ZBG),"3956895",LC,K,,,,,,,,LC,,,,,Brassicaceae,,INN,,
,infoflora:22100,Gefässpflanzen,Knoblauchhederich,Alliaria petiolata (M. Bieb.) Cavara & Grande,www.infoflora.ch/flora/1002520,Indéterminé (ZH),ZH,,375-461,"2702500","1271500","707",A,,,"2017",,,,Flora des Kantons Zürich,Wohlgemuth Thomas,"6354461",LC,K,,,,,,,,LC,,,,,Brassicaceae,,INN,,
,infoflora:22400,Gefässpflanzen,Gewöhnlicher Gekielter Lauch,Allium carinatum L. subsp. carinatum,www.infoflora.ch/flora/1002570,Neunforn,TG,,377-378,"2701278","1271777","5",A,,,"2022","4","29",,Blan B Götsch,Götsch Martin Ernst,"11785872",NT,K,,,,,,,Vollständig geschützt,VU,,,,,Amaryllidaceae,,INN,,
x,infoflora:23600,Gefässpflanzen,Ross-Lauch,Allium oleraceum L.,www.infoflora.ch/flora/1002680,Indéterminé (ZH),ZH,,436-502,"2700500","1274500","707",A,,,"2013",,,,Flora des Kantons Zürich,?,"3956658",LC,K,L,,,,,,,LC,,,,,Amaryllidaceae,,INN,,
,infoflora:24800,Gefässpflanzen,Bärlauch,Allium ursinum L.,www.infoflora.ch/flora/1002790,Indéterminé (ZH),ZH,,372-381,"2700500","1271500","707",A,,,"2015",,,,Flora des Kantons Zürich,Bernowitz Karin,"4831883",LC,K,,,,,,,,LC,,,,,Amaryllidaceae,,INN,,
,infoflora:24800,Gefässpflanzen,Bärlauch,Allium ursinum L.,www.infoflora.ch/flora/1002790,Indéterminé (ZH),ZH,,375-461,"2702500","1271500","707",A,,,"2017",,,,Flora des Kantons Zürich,Wohlgemuth Thomas,"6354462",LC,K,,,,,,,,LC,,,,,Amaryllidaceae,,INN,,
x,infoflora:25000,Gefässpflanzen,Weinberg-Lauch,Allium vineale L.,www.infoflora.ch/flora/1002810,Indéterminé (ZH),ZH,,436-502,"2700500","1274500","707",A,,,"2013",,,,Flora des Kantons Zürich,?,"3956896",LC,K,L,,,,,,,LC,,,,,Amaryllidaceae,,INN,,
,infoflora:25200,Gefässpflanzen,Schwarz-Erle,Alnus glutinosa (L.) Gaertn.,www.infoflora.ch/flora/1002840,Stammheim,ZH,699700/275025,"463","2699700","1275025","50",A,,,"1982","6","8",,Kanton Zürich,?,"3149731",LC,K,,,,,,,Teilweise geschützt,LC,,,,,Betulaceae,,INN,,
,infoflora:25200,Gefässpflanzen,Schwarz-Erle,Alnus glutinosa (L.) Gaertn.,www.infoflora.ch/flora/1002840,Stammheim,ZH,699700/275025,"463","2699700","1275025","50",A,,,"1982","6","8",,Kanton Zürich,?,"3149788",LC,K,,,,,,,Teilweise geschützt,LC,,,,,Betulaceae,,INN,,
,infoflora:25200,Gefässpflanzen,Schwarz-Erle,Alnus glutinosa (L.) Gaertn.,www.infoflora.ch/flora/1002840,Altikon,ZH,"Altikon / Höh-Wald, 5180101",375-377,"2701793","1271331","100",A,,,"2009","8","18",,Kanton Zürich,Bertiller René,"8717526",LC,K,,,,,,,Teilweise geschützt,LC,,,,,Betulaceae,,INN,,
x,infoflora:25200,Gefässpflanzen,Schwarz-Erle,Alnus glutinosa (L.) Gaertn.,www.infoflora.ch/flora/1002840,Indéterminé (ZH),ZH,,436-502,"2700500","1274500","707",A,,,"2013",,,,Flora des Kantons Zürich,?,"3956897",LC,K,,,,,,,Teilweise geschützt,LC,,,,,Betulaceae,,INN,,
,infoflora:25200,Gefässpflanzen,Schwarz-Erle,Alnus glutinosa (L.) Gaertn.,www.infoflora.ch/flora/1002840,Indéterminé (ZH),ZH,,372-381,"2700500","1271500","707",A,,,"2015",,,,Flora des Kantons Zürich,Bernowitz Karin,"3434032",LC,K,,,,,,,Teilweise geschützt,LC,,,,,Betulaceae,,INN,,
,infoflora:25200,Gefässpflanzen,Schwarz-Erle,Alnus glutinosa (L.) Gaertn.,www.infoflora.ch/flora/1002840,Indéterminé (ZH),ZH,,375-461,"2702500","1271500","707",A,,,"2017",,,,Flora des Kantons Zürich,Wohlgemuth Thomas,"6354463",LC,K,,,,,,,Teilweise geschützt,LC,,,,,Betulaceae,,INN,,
,infoflora:25300,Gefässpflanzen,Grau-Erle,Alnus incana (L.) Moench,www.infoflora.ch/flora/1002850,Altikon,ZH,"Altikon / Höh-Wald, 5180101",375-377,"2701793","1271331","100",A,,,"2009","8","18",,Kanton Zürich,Bertiller René,"8717524",LC,K,,,,,,,Teilweise geschützt,LC,,,,,Betulaceae,,INN,,
,infoflora:25300,Gefässpflanzen,Grau-Erle,Alnus incana (L.) Moench,www.infoflora.ch/flora/1002850,Indéterminé (ZH),ZH,,372-381,"2700500","1271500","707",A,,,"2015",,,,Flora des Kantons Zürich,Bernowitz Karin,"3434033",LC,K,,,,,,,Teilweise geschützt,LC,,,,,Betulaceae,,INN,,
,infoflora:26000,Gefässpflanzen,Wiesen-Fuchsschwanz,Alopecurus pratensis L.,www.infoflora.ch/flora/1002920,Indéterminé (ZH),ZH,,372-381,"2700500","1271500","707",A,,,"2013",,,,Flora des Kantons Zürich,Bernowitz Karin,"4204952",LC,K,,,,,,,,LC,,,,,Poaceae,,INN,,
x,infoflora:26000,Gefässpflanzen,Wiesen-Fuchsschwanz,Alopecurus pratensis L.,www.infoflora.ch/flora/1002920,Indéterminé (ZH),ZH,,436-502,"2700500","1274500","707",A,,,"2013",,,,Flora des Kantons Zürich,?,"3956898",LC,K,,,,,,,,LC,,,,,Poaceae,,INN,,
,infoflora:26000,Gefässpflanzen,Wiesen-Fuchsschwanz,Alopecurus pratensis L.,www.infoflora.ch/flora/1002920,Indéterminé (ZH),ZH,,375-461,"2702500","1271500","707",A,,,"2017",,,,Flora des Kantons Zürich,Wohlgemuth Thomas,"6354464",LC,K,,,,,,,,LC,,,,,Poaceae,,INN,,
,infoflora:27600,Gefässpflanzen,Bläulicher Amarant,Amaranthus blitum aggr.,www.infoflora.ch/flora/1003085,Indéterminé (ZH),ZH,,375-461,"2702500","1271500","707",A,,,"2017",,,,Flora des Kantons Zürich,Wohlgemuth Thomas,"6354465",,,,,,,,,,,,,,,Amaranthaceae,,INN,,
x,infoflora:28400,Gefässpflanzen,Bastard-Amarant,Amaranthus hybridus aggr.,www.infoflora.ch/flora/1003170,Indéterminé (ZH),ZH,,436-502,"2700500","1274500","707",A,,,"2016",,,,Flora des Kantons Zürich,Zürcherische Botanische Gesellschaft (ZBG),"3956883",,,,,,,,,,,,,,,Amaranthaceae,,NEO,"1",
x,infoflora:28900,Gefässpflanzen,Zurückgekrümmter Amarant,Amaranthus retroflexus L.,www.infoflora.ch/flora/1003220,Indéterminé (ZH),ZH,,436-502,"2700500","1274500","707",A,,,"2013",,,,Flora des Kantons Zürich,?,"3956899",,,,,,,,,,,,,,,Amaranthaceae,,NEO,"1",
,infoflora:28900,Gefässpflanzen,Zurückgekrümmter Amarant,Amaranthus retroflexus L.,www.infoflora.ch/flora/1003220,Indéterminé (ZH),ZH,,372-381,"2700500","1271500","707",A,,,"2015",,,,Flora des Kantons Zürich,Bernowitz Karin,"3434034",,,,,,,,,,,,,,,Amaranthaceae,,NEO,"1",
,infoflora:28900,Gefässpflanzen,Zurückgekrümmter Amarant,Amaranthus retroflexus L.,www.infoflora.ch/flora/1003220,Indéterminé (ZH),ZH,,375-461,"2702500","1271500","707",A,,,"2017",,,,Flora des Kantons Zürich,Wohlgemuth Thomas,"6354466",,,,,,,,,,,,,,,Amaranthaceae,,NEO,"1",
