Taxon_Id,Species,?,Years (min),Years (max)
1007230,Bromus benekenii (Lange) Trimen,6,1982,2022
1007240,Bromus carinatus Hook. & Arn.,4,1998,2015
1007250,Bromus catharticus Vahl,4,1950,1995
1007260,Bromus commutatus Schrad.,16,1886,2013
1007290,Bromus erectus Huds.,42,1849,2022
1007300,Bromus erectus Huds. subsp. erectus,29,1849,2021
1007320,Bromus grossus DC.,10,1950,2018
1007330,Bromus hordeaceus L.,32,1886,2022
1007360,Bromus inermis Leyss.,20,1982,2015
1007355,Bromus inermis aggr.,20,1982,2015
1007390,Bromus japonicus Thunb.,7,1950,1998
1007410,Bromus lepidus Holmb.,4,1950,1998
1007420,Bromus madritensis L.,12,1903,2020
1007460,Bromus racemosus L.,7,1877,1950
1007450,Bromus racemosus aggr.,23,1877,2013
1007470,Bromus ramosus Huds.,3,1982,1998
1007480,Bromus rigidus Roth,2,1950,2017
1007490,Bromus riparius Rehmann,1,2022,2022
1007510,Bromus secalinus L.,12,1888,2016
1007505,Bromus secalinus aggr.,23,1888,2020
1007530,Bromus squarrosus L.,2,1950,1966
1007540,Bromus sterilis L.,42,1886,2022
1007550,Bromus tectorum L.,31,1878,2021
1007560,Broussonetia papyrifera (L.) Vent.,1,1892,1892
1007570,Brunnera macrophylla (Adams) I. M. Johnst.,26,1998,2021
1007580,Bryonia alba L.,1,1892,1892
1007590,Bryonia dioica Jacq.,15,1892,2022
1007600,Buddleja davidii Franch.,257,1982,2022
1007620,Buglossoides arvensis (L.) I. M. Johnst.,9,1950,2020
1007630,Buglossoides purpurocaerulea (L.) I. M. Johnst.,10,1998,2017
1007660,Bunias orientalis L.,9,1876,2002
1007670,Bunium bulbocastanum L.,6,1950,1950
1007690,Buphthalmum salicifolium L.,18,1890,2020
1007770,Bupleurum longifolium L.,6,1839,1982
1007830,Bupleurum rotundifolium L.,8,1950,2021
1007850,Butomus umbellatus L.,72,1950,2020
1007860,Buxus sempervirens L.,2,2017,2021
1007890,Calamagrostis canescens (F. H. Wigg.) Roth,3,1768,1982
1007900,Calamagrostis epigejos (L.) Roth,28,1982,2018
1007920,Calamagrostis pseudophragmites (Haller f.) Koeler,5,1879,1966
1007940,Calamagrostis varia (Schrad.) Host,10,1877,2019
1007990,Calamintha nepeta (L.) Savi,1,1998,1998
1008000,Calamintha nepeta aggr.,2,1998,2022
1008030,Calendula arvensis L.,11,1950,2021
1008040,Calendula officinalis L.,19,1998,2021
1008050,Calepina irregularis (Asso) Thell.,5,1892,2021
