Taxon,Koordx,Koordy,Jahr,Ordnung,Familie,
Silene flos-cuculi (L.) Clairv.,2584476,1197625,2018,,Caryophyllaceae,
Silene flos-cuculi (L.) Clairv.,2584476,1197625,2018,,Caryophyllaceae,
Silene vulgaris (Moench) Garcke,2584692,1197087,2005,,Caryophyllaceae,
Solidago virgaurea L.,2584692,1197087,2005,,Asteraceae,
Stachys sylvatica L.,2583500,1197500,2020,,Lamiaceae,
Taraxacum officinale aggr.,2584692,1197087,2005,,Asteraceae,
Tilia platyphyllos Scop.,2584850,1197010,1996,,Malvaceae,
Trifolium dubium Sibth.,2584476,1197625,2018,,Fabaceae,
Trifolium pratense L.,2584692,1197087,2005,,Fabaceae,
Trifolium pratense L.,2584476,1197625,2018,,Fabaceae,
Trifolium pratense L.,2584476,1197625,2018,,Fabaceae,
Trifolium pratense L.,2584476,1197625,2018,,Fabaceae,
Trifolium pratense L.,2584011,1197963,2021,,Fabaceae,
Trisetum flavescens (L.) P. Beauv.,2584692,1197087,2005,,Poaceae,
Trisetum flavescens (L.) P. Beauv.,2584476,1197625,2018,,Poaceae,
Trisetum flavescens (L.) P. Beauv.,2584476,1197625,2018,,Poaceae,
Trisetum flavescens (L.) P. Beauv.,2584476,1197625,2018,,Poaceae,
Trisetum flavescens (L.) P. Beauv.,2584476,1197625,2018,,Poaceae,
Trisetum flavescens (L.) P. Beauv.,2584476,1197625,2018,,Poaceae,
Ulmus glabra Huds.,2584850,1197010,1996,,Ulmaceae,
Ulmus glabra Huds.,2584850,1197010,1996,,Ulmaceae,
Ulmus glabra Huds.,2584850,1197010,1996,,Ulmaceae,
Urtica dioica L.,2584850,1197010,1996,,Urticaceae,
Urtica dioica L.,2584850,1197010,1996,,Urticaceae,
Urtica dioica L.,2583481,1197377,2021,,Urticaceae,
Urtica dioica L.,2584096,1197997,2021,,Urticaceae,
Veronica arvensis L.,2584476,1197625,2018,,Plantaginaceae,
Veronica arvensis L.,2584476,1197625,2018,,Plantaginaceae,
Veronica arvensis L.,2584476,1197625,2018,,Plantaginaceae,
Veronica arvensis L.,2584476,1197625,2018,,Plantaginaceae,
Veronica beccabunga L.,2584820,1197270,1996,,Plantaginaceae,
Veronica beccabunga L.,2584854,1197212,2020,,Plantaginaceae,
Veronica chamaedrys L.,2584692,1197087,2005,,Plantaginaceae,
Veronica montana L.,2584850,1197010,1996,,Plantaginaceae,
Veronica serpyllifolia L.,2584476,1197625,2018,,Plantaginaceae,
Viburnum lantana L.,2584098,1198011,2020,,Adoxaceae,
Viburnum lantana L.,2584110,1198055,2021,,Adoxaceae,
Viburnum opulus L.,2584850,1197010,1996,,Adoxaceae,
Vicia sativa L.,2584692,1197087,2005,,Fabaceae,
Vicia sativa L.,2584476,1197625,2018,,Fabaceae,
Vicia sativa L.,2584476,1197625,2018,,Fabaceae,
Viscum album L. subsp. album,2583500,1196500,2015,,Santalaceae,
