City,Family,Genus,Sp2,Sp.merge,native_exotic,pollination_mode,Flowering_months_duration,start_flowering,growth_form_category,plant_height_m,inflorescence,structural_blossom_class,symmetry,nectar,pollen,oil
Zu,Linaceae,Linum,narbonense,Linum narbonense,N,biotic,5,6,herb,0.45,1,dish_bowl,actinomorph,1,1,0
Zu,Linaceae,Linum,perenne,Linum perenne,N,biotic,3,6,herb,0.45,1,dish_bowl,actinomorph,1,1,0
Zu,Linaceae,Linum,usitatissimum,Linum usitatissimum,N,biotic,2,6,herb,0.5,1,dish_bowl,actinomorph,1,1,0
Zurich,Altingiaceae,Liquidambar,styraciflua,Liquidambar styraciflua,E,biotic,2,4,tree,21.3,1,NA,NA,0,1,0
Zu,Magnoliaceae,Liriodendron,tulipifera,Liriodendron tulipifera,E,biotic,3,4,tree,50,0,dish_bowl,actinomorph,0,1,0
Pa,Asparagaceae,Liriope,muscari,Liriope muscari,E,biotic,3,7,herb,0.38,1,NA,,1,1,0
Pa,Boraginaceae,Lithodora,zahnii,Lithodora zahnii,E,biotic,NA,NA,herb,0.15,1,dish_bowl,actinomorph,NA,NA,NA
Zu,Boraginaceae,Lithospermum,erythrorhizon,Lithospermum erythrorhizon,E,biotic,3,5,herb,0.7,1,stalk_disk,actinomorph,NA,NA,NA
Zu,Boraginaceae,Lithospermum,officinale,Lithospermum officinale,N,biotic,3,5,herb,0.8,1,stalk_disk,actinomorph,NA,NA,NA
Zu,Boraginaceae,Lithospermum,purpureum,Lithospermum purpureum,E,biotic,3,5,herb,0.4,1,stalk_disk,actinomorph,NA,NA,NA
Pa,Campanulaceae,Lobelia,cardinalis,Lobelia cardinalis,E,biotic,3,7,herb,1.2,1,gullet,sigomorph,1,1,0
Zu,Campanulaceae,Lobelia,erinus,Lobelia erinus,E,biotic,6,5,herb,0.15,1,gullet,sigomorph,1,1,0
Pa,Campanulaceae,Lobelia,laxiflora,Lobelia laxiflora,E,biotic,6,5,herb,1.5,1,gullet,sigomorph,1,1,0
Pa,Campanulaceae,Lobelia,pedunculata,Lobelia pedunculata,E,biotic,6,5,herb,0.04,1,gullet,sigomorph,1,1,0
Zu,Campanulaceae,Lobelia,siphilitica,Lobelia siphilitica,E,biotic,3,7,herb,0.9,1,gullet,sigomorph,1,1,0
Zu,Brassicaceae,Lobularia,maritima,Lobularia maritima,E,biotic,4,6,herb,0.3,1,dish_bowl,actinomorph,1,1,0
Zurich,Poaceae,Lolium,multiflorum,Lolium multiflorum,N,abiotic,4,6,herb,0.6,NA,NA,NA,NA,NA,NA
Zu,Caprifoliaceae,Lomelosia,graminifolia,Lomelosia graminifolia,E,biotic,3,6,herb,0.3,0,dish_bowl,actinomorph,NA,NA,NA
Ta,Caprifoliaceae,Lonicera,caprifolium,Lonicera caprifolium,N,biotic,2,5,herb,6,1,flag,sigomorph,1,1,0
Pa,Caprifoliaceae,Lonicera,etrusca,Lonicera etrusca,N,biotic,2,5,shrub,1.2,1,flag,sigomorph,1,1,0
Zu,Caprifoliaceae,Lonicera,implexa,Lonicera implexa,N,biotic,2,5,shrub,,1,flag,sigomorph,1,1,0
Zu,Caprifoliaceae,Lonicera,japonica,Lonicera japonica,E,biotic,4,6,climber,10,1,flag,sigomorph,1,1,0
Zu,Caprifoliaceae,Lonicera,nigra,Lonicera nigra,N,biotic,2,5,shrub,1.5,1,flag,sigomorph,1,1,0
Zu,Caprifoliaceae,Lonicera,periclymenum,Lonicera periclymenum,N,biotic,3,6,herb,5,1,flag,sigomorph,1,1,0
Zu,Caprifoliaceae,Lonicera,pileata,Lonicera pileata,E,biotic,1,6,herb,1,1,flag,sigomorph,1,1,0
Zu,Caprifoliaceae,Lonicera,tatarica,Lonicera tatarica,N,biotic,2,5,shrub,3,1,flag,sigomorph,1,1,0
Zu,Caprifoliaceae,Lonicera,x pupusii,Lonicera x pupusii,E,biotic,2,4,shrub,2,1,flag,sigomorph,1,1,0
Zu,Caprifoliaceae,Lonicera,xylosteum,Lonicera xylosteum,N,biotic,2,4,shrub,3,1,flag,sigomorph,1,1,0
Zu,Hamamelidaceae,Loropetalum,chinense,Loropetalum chinense,E,biotic,NA,NA,shrub,2.44,1,NA,,NA,NA,NA
Zu,Fabaceae,Lotus,corniculatus,Lotus corniculatus,N,biotic,3,5,herb,0.4,1,flag,sigomorph,1,1,0
Zu,Fabaceae,Lotus,maritimus,Lotus maritimus,N,biotic,2,5,herb,0.15,1,flag,sigomorph,1,1,0
Zu,Fabaceae,Lotus,pedunculatus,Lotus pedunculatus,N,biotic,2,6,herb,0.55,1,flag,sigomorph,1,1,0
Zu,Fabaceae,Lotus,tetragonolobus,Lotus tetragonolobus,N,biotic,2,5,herb,0.4,1,flag,sigomorph,1,1,0
Pa,Onagraceae,Ludwigia,grandiflora,Ludwigia grandiflora,E,biotic,4,6,herb,1,0,dish_bowl,actinomorph,1,1,0
Zu,Cucurbitaceae,Luffa,cylindrica,Luffa cylindrica,E,biotic,NA,NA,herb,,0,bell_trumpet,actinomorph,1,1,0
Zu,Brassicaceae,Lunaria,annua,Lunaria annua,N,biotic,2,4,herb,1,1,dish_bowl,actinomorph,1,1,0
Zu,Brassicaceae,Lunaria,rediviva,Lunaria rediviva,N,biotic,2,5,herb,1.5,1,dish_bowl,actinomorph,1,1,0
Zu,Fabaceae,Lupinus,albus,Lupinus albus,N,biotic,4,4,herb,1.2,1,flag,sigomorph,1,1,0
Pa,Fabaceae,Lupinus,luteus,Lupinus luteus,N,biotic,4,6,herb,1,1,flag,sigomorph,1,1,0
Ta,Fabaceae,Lupinus,polyphyllus,Lupinus polyphyllus,E,biotic,4,6,herb,1.5,1,flag,sigomorph,1,1,0
Zu,Fabaceae,Lupinus,semperflorens,Lupinus semperflorens,E,biotic,4,6,herb,,1,flag,sigomorph,1,1,0
Zu,Fabaceae,Lupinus,sp.,Lupinus sp.,NA,biotic,NA,NA,herb,NA,NA,flag,sigomorph,1,1,0
Pa,Juncaceae,Luzula,nivea,Luzula nivea,N,abiotic,3,6,herb,0.6,1,NA,,0,1,0
Zu,Solanaceae,Lycianthes,rantonnei,Lycianthes rantonnei,E,biotic,3,6,shrub,,1,dish_bowl,actinomorph,1,1,0
Zu,Solanaceae,Lycium,barbarum,Lycium barbarum,E,biotic,3,6,herb,2.5,1,stalk_disk,actinomorph,1,1,0
Pa,Solanaceae,Lycium,chinense,Lycium chinense,E,biotic,4,6,shrub,1.37,1,stalk_disk,actinomorph,1,1,0
Pa,Solanaceae,Lycium,flexicaule,Lycium flexicaule,E,biotic,3,6,shrub,,1,stalk_disk,actinomorph,1,1,0
Zu,Solanaceae,Lycopersicon,esculentum,Lycopersicon esculentum,E,biotic,4,7,herb,2,1,bell_trumpet,actinomorph,0,1,0
Zu,Lamiaceae,Lycopus,europaeus,Lycopus europaeus,E,biotic,3,7,herb,0.5,1,gullet,sigomorph,1,1,0
Zu,Araceae,Lysichiton,americanus,Lysichiton americanus,E,biotic,1,4,herb,1,1,NA,,0,0,0
