ID,location,landscape,replicate,bbspecies,bborgan,site,Shannon,NrSpecies,Flowering_duration_cwm,Flowering_start_cwm,growth_form_cwm,structural_blossom_cwm,sugar_concentration_cwm,plant_height_cwm
13_BSUB_lB,BS,U,B,B.pascuorum,B,BS_U,1.8059977959027753,8,3.9910479682248696,5.411762908646502,1,1.5769783073632746,46.66018374264413,0.5661182401466542
13_BSUB_pB,BS,U,B,B.lapidarius,B,BS_U,1.1656487619505533,6,5.060804251187982,5.142123550150734,1,2.4133156200500747,37.13417020451739,0.4699325532675899
13_BSUB_pL,BS,U,B,B.lapidarius,L,BS_U,0.29021444445459516,3,4.915864519071509,5.0510093857269736,1,1.071533162101827,44.52309878838468,0.21697232290741492
13_BSUC_lB,BS,U,C,B.pascuorum,B,BS_U,1.2817038129841587,7,4.756328948058074,5.734891765815819,1.4794690999585236,2.0930111986727504,43.18463182199745,1.6222160490591757
13_BSUC_pB,BS,U,C,B.lapidarius,B,BS_U,0.5779865503542769,6,4.8321239158322005,5.091213693541902,1,1.1155296865725939,43.00714601426737,0.2079425223534818
13_ZHRD_lB,ZH,R,D,B.pascuorum,B,ZH_R,0.633325861072535,5,4.877829399158416,5.017019412767689,1,1.0758990723794326,43.0316428348047,0.2296776010136562
13_ZHRD_pB,ZH,R,D,B.lapidarius,B,ZH_R,0.06417890403389466,2,6,4.9881862527716185,1,1.0708824833702884,45.27585137672035,0.9929117516629712
13_ZHRE_lB,ZH,R,E,B.pascuorum,B,ZH_R,1.6236418625084328,10,4.291153830734073,5.601621697470233,1,2.4143847973379304,17.14673574780579,1.0447381028745544
13_ZHRE_pB,ZH,R,E,B.lapidarius,B,ZH_R,0.18381967360647158,3,5.9147052810083345,5,1,1,45.331836830814225,0.9742402010896365
13_ZHRF_lB,ZH,R,F,B.pascuorum,B,ZH_R,0.18971161859246966,3,2.083432472241106,7.883795037389532,1,2.922530024926354,33.781225063436935,1.9469635168819397
13_ZHRF_pB,ZH,R,F,B.lapidarius,B,ZH_R,0,1,6,5,1,1,45.81712329,1
13_ZHUA_lB,ZH,U,A,B.pascuorum,B,ZH_U,1.2727978399560207,6,4.595431086824529,5.152580449301761,1,1.366013964784457,41.70396928837416,0.4895552519732848
13_ZHUA_lL,ZH,U,A,B.pascuorum,L,ZH_U,1.223227758998599,8,4.347456939674985,5.693751182975962,1,1.9486385636643864,44.42806138689397,0.6681475272422462
13_ZHUA_pB,ZH,U,A,B.lapidarius,B,ZH_U,1.46082503547333,9,3.5513574906661187,5.410376617570653,1,1.522975242560081,31.233079938607872,0.6876871307226657
13_ZHUB_lB,ZH,U,B,B.pascuorum,B,ZH_U,0.6160016065926682,4,5.784942850262129,5,1,1.0212156067992184,46.29492653295363,0.8354986013597375
13_ZHUB_lL,ZH,U,B,B.pascuorum,L,ZH_U,0.6152599987298271,2,5.694734445636973,5,1,1,45.44176165472046,0.7405242787914269
13_ZHUB_pB,ZH,U,B,B.lapidarius,B,ZH_U,0,1,6,5.000000000000001,1,1,45.81712329,1
13_ZHUC_lB,ZH,U,C,B.pascuorum,B,ZH_U,0,1,5,5,1,1,44.5875,0.15
13_ZHUC_pB,ZH,U,C,B.lapidarius,B,ZH_U,2.0323726983474826,11,3.966321025830629,5.554173739139204,1.285249547710336,1.9862072399541906,35.256885025492394,1.1738433356301374
14_BERD_lB,BE,R,D,B.pascuorum,B,BE_R,0.2835136014644888,2,3.2458590589738137,5,1,1,27.860832581852243,0.4491718117947626
14_BERD_lL,BE,R,D,B.pascuorum,L,BE_R,0.17502086688097765,2,3.1267412180800536,5,1,1,27.08421489037772,0.4253482436160107
14_BERD_pB,BE,R,D,B.lapidarius,B,BE_R,0.4320053813966697,2,5.378299120234604,5.310850439882698,1,1.1554252199413488,48.04481380504398,0.8756598240469208
14_BEUA_pB,BE,U,A,B.lapidarius,B,BE_U,0.8754621358380604,5,5.828848709187548,5,1,3.7719722854973425,41.77766935065778,0.8986065632118451
14_BEUB_lB,BE,U,B,B.pascuorum,B,BE_U,0.1285529026823876,2,5.9435296477707755,5.028235176114613,1,1.0282351761146125,45.83546326172837,0.9858824119426939
14_BEUB_pB,BE,U,B,B.lapidarius,B,BE_U,1.3680236023839993,6,4.61565387043094,5.5838210822287255,1,1.4778934985941354,46.27848525609299,0.6548028920640384
14_BEUC_lB,BE,U,C,B.pascuorum,B,BE_U,1.2497516076948179,7,5.5956515550494625,4.168511137997296,1,1.6920148032168523,207.43332768944055,0.37026635114938433
14_BEUC_pB,BE,U,C,B.lapidarius,B,BE_U,0.37730634029428384,3,5.911471279811892,4.999999999999999,1,1.0154182062479005,45.70656165168008,0.9247505878401074
14_BSRD_lB,BS,R,D,B.pascuorum,B,BS_R,0,1,6.000000000000001,5,1,1,45.81712329,1
14_BSRD_lL,BS,R,D,B.pascuorum,L,BS_R,0.063337907068795607,2,5.965127669300594,5,1,1,45.589764661259714,0.9930255338601188
14_BSRD_pB,BS,R,D,B.lapidarius,B,BS_R,0,1,6,5,1,1,45.81712329,1
