plant species;plant family;plant genus;additional information;community studied;literature source 1;link 1;literature source 2;link 2;literature source 3;link 3;reference;class;subclass;order;alliance;suballiance;community;continent/region;country;location name;decimal longitude;absolute latitude;decimal latitude;altitude [meters above sea level];year of the  data collection;mean yearly air temperature in degrees Celsius;January - mean monthly temp. [degrees Celsius];February - mean monthly temp. [degrees Celsius];March - mean monthly temp. [degrees Celsius];April - mean monthly temp. [degrees Celsius];May - mean monthly temp. [degrees Celsius];June - mean monthly temp. [degrees Celsius];July - mean monthly temp. [degrees Celsius];August - mean monthly temp. [degrees Celsius];September - mean monthly temp. [degrees Celsius];October - mean monthly temp. [degrees Celsius];November - mean monthly temp. [degrees Celsius];December - mean monthly temp. [degrees Celsius];total yearly  pecipitation in mm;January - total precipitation;February - total precipitation;March - total precipitation;April - total precipitation;May - total precipitation;June - total precipitation;July - total precipitation;August - total precipitation;September - total precipitation;October - total precipitation;November - total precipitation;December - total precipitation;flowering start;flowering end;flowering peak;flowering peak 2 (if occured);flowering lenght;total number of plants per m^2;total number of trees examined;total number of flowers per m^2;total number of inflorescenses per m^2;total number of flowers per m^2 of crown surface;total number of inflorescenses per m^2 of crown surface;total number of flowers per a single tree;total number of flowers per plant;total number of inflorescenses per a single tree;total number of inflorescenses per plant;tree age;mean number of flowering flowers per m^2 per day;peak number of flowering flowers per m^2;flower longevity [days];total nectar in µg per flower;total nectar in µL per flower;nectar in µg/flower/day ;nectar in µL/flower/day ;nectar in µg/inflorescence/day ;sugar concentration % in nectar;total sugar in µg per flower;sugar in µg/flower/day;total sugar in mg per inflorescence;sugar in µg/inflorescence/day;sugar yield in kg/ha per 1 year;sugar yield in g per tree per 1 year;sugar yield in g per 1 m^3 of the tree crown;honey yield in kg/ha per 1 year;honey yield from 1 flower in mg per 1 year;honey yield in g per 1 m^3 of the tree crown;honey yield in kg/tree per 1 year;total pollen yield per 1 year in kg/ha;total pollen yield per 1 year in kg per a single tree;total pollen yield per 1 year in number of grains per a single tree;total pollen in µg/flower;total pollen in µL/flower;total pollen per flower (the number of grains);total pollen in µg/inflorescence;total pollen in µL/inflorescence;total pollen in µg/plant/year;total pollen in number of grains per inflorescence;pollen in µg/flower/day ;pollen in µL/flower/day ;pollen in µL/inflorescence/day ;yearly pollen yield in number of grains per m^2 of the  crown;yearly pollen yield in g per 1 m^3 of the tree crown
Vaccinium myrtillus;Ericaceae;Vaccinium;;natural phytocenosis (heatland/mooseland);Baude et al. 2015a;https://catalogue.ceh.ac.uk/documents/6c6d3844-e95a-4f84-a12e-65be4731e934;Baude et al. 2015b;https://catalogue.ceh.ac.uk/documents/69402002-1676-4de9-a04e-d17e827db93c;;;Baude, M., Kunin, Memmott, J. 2015. Flower density values of common British plant species [AgriLand] AND Baude, M., Kunin, Memmott, J. 2015. Nectar sugar values of common British plant species [AgriLand].;;;;;;;Europe;United Kingdom;Bristol area;-2.59;51.45;51.45;;2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;472;;;;;;;;;;;;;;1409.64;;;;;;;;143.15;;;;;;;;;;;;;;;;;;;;;
Vaccinium myrtillus;Ericaceae;Vaccinium;modelled values;modelled;Baude et al. 2016;https://www.nature.com/articles/nature16532;;;;;Baude, M., Kunin, W. E., Boatman, M. D., Conyers, S., Davies, N., Gillespie, M. A. K., Morton, R. D., Smart, S. M., Memmott, J. 2016. Historical nectar assessment reveals the fall and rise of Britain in bloom. Nature, pp. 85-88.;;;;;;;Europe;United Kingdom;Bristol area;-2.59;51.45;51.45;;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;91;181;136;;91;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vaccinium myrtillus;Ericaceae;Vaccinium;;natural phytocenosis (deciduous forest);Denisow, unpublished;;;;;;Denisow, unpublished;Querco-Fagetea;;Fagetalia sylvaticae;Carpinion betuli;;Tilio cordatae-Carpinetum betuli;Europe;Poland;Nowy Gaj near Lublin;22.22;51.26;51.26;185;2011;;;;;;;;;;;;;;;;;;;;;;;;;;;110;133;125;;24.0;;;291;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;82.0;;;;;;;;;;;
Vaccinium myrtillus;Ericaceae;Vaccinium;;natural phytocenosis (deciduous forest);Denisow, unpublished;;;;;;Denisow, unpublished;Querco-Fagetea;;Fagetalia sylvaticae;Carpinion betuli;;Tilio cordatae-Carpinetum betuli;Europe;Poland;Nowy Gaj near Lublin;22.22;51.26;51.26;185;2014;;;;;;;;;;;;;;;;;;;;;;;;;;;116;123;119;;8.0;;;170;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;85.0;;;;;;;;;;;
Vaccinium myrtillus;Ericaceae;Vaccinium;;natural phytocenosis (deciduous forest);Denisow, unpublished;;;;;;Denisow, unpublished;Querco-Fagetea;;Fagetalia sylvaticae;Carpinion betuli;;Tilio cordatae-Carpinetum betuli;Europe;Poland;Nowy Gaj near Lublin;22.22;51.26;51.26;185;2012;;;;;;;;;;;;;;;;;;;;;;;;;;;115;127;123;;13.0;;;53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;107.7;;;;;;;;;;;
Vaccinium myrtillus;Ericaceae;Vaccinium;;natural phytocenosis (deciduous forest);Denisow, unpublished;;;;;;Denisow, unpublished;Querco-Fagetea;;Fagetalia sylvaticae;Carpinion betuli;;Tilio cordatae-Carpinetum betuli;Europe;Poland;Nowy Gaj near Lublin;22.22;51.26;51.26;185;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;110;135;122;;26.0;;;175;;;;;;;;;;;3.8;;;;;;;;;;;;;;;;;;;;;148.3;;;;;;;;;;;
Vaccinium myrtillus;Ericaceae;Vaccinium;;natural phytocenosis (deciduous forest);Denisow, unpublished;;;;;;Denisow, unpublished;Querco-Fagetea;;Fagetalia sylvaticae;Carpinion betuli;;Tilio cordatae-Carpinetum betuli;Europe;Poland;Nowy Gaj near Lublin;22.22;51.26;51.26;185;2003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vaccinium myrtillus;Ericaceae;Vaccinium;;natural phytocenosis (deciduous forest);Denisow, unpublished;;;;;;Denisow, unpublished;Querco-Fagetea;;Fagetalia sylvaticae;Carpinion betuli;;Tilio cordatae-Carpinetum betuli;Europe;Poland;Nowy Gaj near Lublin;22.22;51.26;51.26;185;2002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vaccinium myrtillus;Ericaceae;Vaccinium;;natural phytocenosis (heathland);Moquet et al. 2015;https://link.springer.com/article/10.1007/s10841-015-9802-5;;;;;Moquet, L., Mayer, C., Michez, D., Wathelet, B., Jacquemart, A. L. 2015. Early spring floral foraging resources for pollinators in wet heathlands in Belgium. Journal of Insect Conservation. 19, pp. 837-848.;;;;;;;Europe;Belgium;Upper Ardenne;5.73;50.23;50.23;575;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.77;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vaccinium myrtillus;Ericaceae;Vaccinium;;natural phytocenosis (coniferous or mixed forest);Szklanowska 1973;https://docplayer.pl/108510839-Bory-jako-bazapozytkowa-pszczol-instytut-przyrodniczych-podstaw-produkcji-roslinnej-akademia-rolnicza-w-lublinie-wprowadzenie.html;;;;;Szklanowska, K. 1973. Bory jako baza po¿ytkowa pszczó³ [Pine forests as a bee pasture]. Pszczelnicze Zeszyty Naukowe [Journal of Apicultural Science]. 17, pp. 51-85.;Vaccinio-Piceetea;;Piceetalia abietis;;;;Europe;Poland;Wilko³az k/Kraœnika area;22.31;50.93;50.93;;1969;6.3;-7.2;-5.0;-2.8;6.5;14.8;16.4;18.1;16.8;13.4;8.1;5.2;-8.6;392.0;10.6;15.7;25.1;20.5;35.8;56.2;61.1;78.5;10.4;16.2;41.1;20.5;;;;;;145.00;;170000;;;;;;;;;;;;;;5100.00;;;19.40;;1023.00;;;;;;8.3;;;;;;;;;;;;;;;;;;
Vaccinium myrtillus;Ericaceae;Vaccinium;;natural phytocenosis (coniferous or mixed forest);Szklanowska 1973;https://docplayer.pl/108510839-Bory-jako-bazapozytkowa-pszczol-instytut-przyrodniczych-podstaw-produkcji-roslinnej-akademia-rolnicza-w-lublinie-wprowadzenie.html;;;;;Szklanowska, K. 1973. Bory jako baza po¿ytkowa pszczó³ [Pine forests as a bee pasture]. Pszczelnicze Zeszyty Naukowe [Journal of Apicultural Science]. 17, pp. 51-85.;Vaccinio-Piceetea;;Piceetalia abietis;Dicrano-Pinion;Dicrano-Pinenion;Cladonio-Pinetum;Europe;Poland;Zwierzyniec;22.98;50.61;50.61;;1969-1971;;;;;;;;;;;;;;;;;;;;;;;;;;;114;136;126;;23.0;43.00;;229333;;;;;;;;;;;;;;4600.00;;;22.97;;1003.00;;;;;;11.8;;;;;;;;;;;;;;;;;;
Vaccinium myrtillus;Ericaceae;Vaccinium;;natural phytocenosis (coniferous or mixed forest);Szklanowska 1973;https://docplayer.pl/108510839-Bory-jako-bazapozytkowa-pszczol-instytut-przyrodniczych-podstaw-produkcji-roslinnej-akademia-rolnicza-w-lublinie-wprowadzenie.html;;;;;Szklanowska, K. 1973. Bory jako baza po¿ytkowa pszczó³ [Pine forests as a bee pasture]. Pszczelnicze Zeszyty Naukowe [Journal of Apicultural Science]. 17, pp. 51-85.;Vaccinio-Piceetea;;Piceetalia abietis;Piceion abietis;Vaccinio-Abietenion;Abietetum polonicum;Europe;Poland;Zwierzyniec;22.98;50.61;50.61;;1969-1971;;;;;;;;;;;;;;;;;;;;;;;;;;;126;146;136;;21.0;80.00;;267333;;;;;;;;;;;;;;4100.00;;;22.03;;867.00;;;;;;12.2;;;;;;;;;;;;;;;;;;
Vaccinium myrtillus;Ericaceae;Vaccinium;;natural phytocenosis (coniferous or mixed forest);Szklanowska 1973;https://docplayer.pl/108510839-Bory-jako-bazapozytkowa-pszczol-instytut-przyrodniczych-podstaw-produkcji-roslinnej-akademia-rolnicza-w-lublinie-wprowadzenie.html;;;;;Szklanowska, K. 1973. Bory jako baza po¿ytkowa pszczó³ [Pine forests as a bee pasture]. Pszczelnicze Zeszyty Naukowe [Journal of Apicultural Science]. 17, pp. 51-85.;Vaccinio-Piceetea;;Piceetalia abietis;;;;Europe;Poland;Wilko³az k/Kraœnika area;22.31;50.93;50.93;;1971;7.4;-3.6;-1.2;-1.2;7.2;14.4;15.7;17.9;18.5;10.7;7.4;1.5;2.0;359.0;12.3;25.9;15.9;36.9;48.4;61.4;20.6;15.1;36.9;34.8;19.5;31.1;;;;;;145.00;;362000;;;;;;;;;;;;;;4060.00;;;23.50;;896.00;;;;;;14.2;;;;;;;;;;;;;;;;;;
Vaccinium myrtillus;Ericaceae;Vaccinium;;natural phytocenosis (coniferous or mixed forest);Szklanowska 1973;https://docplayer.pl/108510839-Bory-jako-bazapozytkowa-pszczol-instytut-przyrodniczych-podstaw-produkcji-roslinnej-akademia-rolnicza-w-lublinie-wprowadzenie.html;;;;;Szklanowska, K. 1973. Bory jako baza po¿ytkowa pszczó³ [Pine forests as a bee pasture]. Pszczelnicze Zeszyty Naukowe [Journal of Apicultural Science]. 17, pp. 51-85.;Vaccinio-Piceetea;;Piceetalia abietis;;;;Europe;Poland;Zwierzyniec;22.98;50.61;50.61;;1971;7.5;-4.1;-1.2;0.8;7.3;14.7;15.5;17.3;18.0;10.7;7.7;2.0;2.0;457.0;12.0;23.0;19.0;31.0;44.0;143.0;40.0;31.0;36.0;23.0;25.0;30.0;;;;;;121.25;;456250;;;;;;;;;;;;;;4060.00;;;23.50;;896.00;;;;;;21.1;;;;;;;;;;;;;;;;;;
Vaccinium myrtillus;Ericaceae;Vaccinium;;natural phytocenosis (coniferous or mixed forest);Szklanowska 1973;https://docplayer.pl/108510839-Bory-jako-bazapozytkowa-pszczol-instytut-przyrodniczych-podstaw-produkcji-roslinnej-akademia-rolnicza-w-lublinie-wprowadzenie.html;;;;;Szklanowska, K. 1973. Bory jako baza po¿ytkowa pszczó³ [Pine forests as a bee pasture]. Pszczelnicze Zeszyty Naukowe [Journal of Apicultural Science]. 17, pp. 51-85.;Vaccinio-Piceetea;;Piceetalia abietis;Dicrano-Pinion;Dicrano-Pinenion;Querco roboris-Pinetum;Europe;Poland;Wilko³az k/Kraœnika area;22.31;50.93;50.93;;1969-1971;;;;;;;;;;;;;;;;;;;;;;;;;;;121;148;134;;28.0;145.00;;578000;;;;;;;;;;;;;;3570.00;;;24.09;;813.00;;;;;;22.1;;;;;;;;;;;;;;;;;;
Vaccinium myrtillus;Ericaceae;Vaccinium;;natural phytocenosis (coniferous or mixed forest);Szklanowska 1973;https://docplayer.pl/108510839-Bory-jako-bazapozytkowa-pszczol-instytut-przyrodniczych-podstaw-produkcji-roslinnej-akademia-rolnicza-w-lublinie-wprowadzenie.html;;;;;Szklanowska, K. 1973. Bory jako baza po¿ytkowa pszczó³ [Pine forests as a bee pasture]. Pszczelnicze Zeszyty Naukowe [Journal of Apicultural Science]. 17, pp. 51-85.;Vaccinio-Piceetea;;Piceetalia abietis;;;;Europe;Poland;Zwierzyniec;22.98;50.61;50.61;;1969;5.9;-8.1;-5.1;-2.9;6.2;14.4;15.9;17.4;16.2;12.8;7.4;5.8;-8.2;437.0;17.0;14.0;25.0;23.0;50.0;92.0;70.0;67.0;5.0;25.0;28.0;21.0;;;;;;121.25;;492750;;;;;;;;;;;;;;5100.00;;;19.40;;1023.00;;;;;;29.4;;;;;;;;;;;;;;;;;;
Vaccinium myrtillus;Ericaceae;Vaccinium;;natural phytocenosis (coniferous or mixed forest);Szklanowska 1973;https://docplayer.pl/108510839-Bory-jako-bazapozytkowa-pszczol-instytut-przyrodniczych-podstaw-produkcji-roslinnej-akademia-rolnicza-w-lublinie-wprowadzenie.html;;;;;Szklanowska, K. 1973. Bory jako baza po¿ytkowa pszczó³ [Pine forests as a bee pasture]. Pszczelnicze Zeszyty Naukowe [Journal of Apicultural Science]. 17, pp. 51-85.;Vaccinio-Piceetea;;Piceetalia abietis;;;;Europe;Poland;Wilko³az k/Kraœnika area;22.31;50.93;50.93;;1970;6.8;-5.7;-5.4;0.8;7.2;12.0;16.7;17.1;16.9;11.6;6.7;4.2;0.2;760.0;40.1;55.9;40.9;92.4;88.4;27.5;97.8;89.1;72.6;52.3;60.9;42.3;;;;;;145.00;;1202000;;;;;;;;;;;;;;4860.00;;;19.70;;915.00;;;;;;43.8;;;;;;;;;;;;;;;;;;
Vaccinium myrtillus;Ericaceae;Vaccinium;;natural phytocenosis (coniferous or mixed forest);Szklanowska 1973;https://docplayer.pl/108510839-Bory-jako-bazapozytkowa-pszczol-instytut-przyrodniczych-podstaw-produkcji-roslinnej-akademia-rolnicza-w-lublinie-wprowadzenie.html;;;;;Szklanowska, K. 1973. Bory jako baza po¿ytkowa pszczó³ [Pine forests as a bee pasture]. Pszczelnicze Zeszyty Naukowe [Journal of Apicultural Science]. 17, pp. 51-85.;Vaccinio-Piceetea;;Piceetalia abietis;Dicrano-Pinion;Dicrano-Pinenion;Peucedano-Pinetum;Europe;Poland;Zwierzyniec;22.98;50.61;50.61;;1969-1971;;;;;;;;;;;;;;;;;;;;;;;;;;;116;140;128;;25.0;228.00;;1053667;;;;;;;;;;;;;;4580.00;;;21.93;;952.00;;;;;;51.0;;;;;;;;;;;;;;;;;;
Vaccinium myrtillus;Ericaceae;Vaccinium;;natural phytocenosis (coniferous or mixed forest);Szklanowska 1973;https://docplayer.pl/108510839-Bory-jako-bazapozytkowa-pszczol-instytut-przyrodniczych-podstaw-produkcji-roslinnej-akademia-rolnicza-w-lublinie-wprowadzenie.html;;;;;Szklanowska, K. 1973. Bory jako baza po¿ytkowa pszczó³ [Pine forests as a bee pasture]. Pszczelnicze Zeszyty Naukowe [Journal of Apicultural Science]. 17, pp. 51-85.;Vaccinio-Piceetea;;Piceetalia abietis;;;;Europe;Poland;Zwierzyniec;22.98;50.61;50.61;;1970;6.8;-5.3;-5.5;0.5;7.7;11.9;16.0;17.1;16.4;11.6;6.5;4.3;0.5;719.0;37.0;24.0;36.0;63.0;130.0;48.0;145.0;42.0;71.0;33.0;49.0;41.0;;;;;;121.25;;1166750;;;;;;;;;;;;;;4860.00;;;19.70;;915.00;;;;;;61.4;;;;;;;;;;;;;;;;;;
Vaccinium myrtillus;Ericaceae;Vaccinium;;natural phytocenosis (coniferous or mixed forest);Szklanowska 1973;https://docplayer.pl/108510839-Bory-jako-bazapozytkowa-pszczol-instytut-przyrodniczych-podstaw-produkcji-roslinnej-akademia-rolnicza-w-lublinie-wprowadzenie.html;;;;;Szklanowska, K. 1973. Bory jako baza po¿ytkowa pszczó³ [Pine forests as a bee pasture]. Pszczelnicze Zeszyty Naukowe [Journal of Apicultural Science]. 17, pp. 51-85.;Vaccinio-Piceetea;;Piceetalia abietis;Dicrano-Pinion;Piceo-Vaccinienion uliginosi;Vaccinio uliginosi - Pinetum sylvestris;Europe;Poland;Zwierzyniec;22.98;50.61;50.61;;1969-1971;;;;;;;;;;;;;;;;;;;;;;;;;;;124;149;136;;26.0;134.00;;1270667;;;;;;;;;;;;;;6500.00;;;17.18;;1088.00;;;;;;74.2;;;;;;;;;;;;;;;;;;
Vaccinium oxycoccos;Ericaceae;Vaccinium;modelled values;modelled;Baude et al. 2015a;https://catalogue.ceh.ac.uk/documents/6c6d3844-e95a-4f84-a12e-65be4731e934;Baude et al. 2015b;https://catalogue.ceh.ac.uk/documents/69402002-1676-4de9-a04e-d17e827db93c;;;Baude, M., Kunin, Memmott, J. 2015. Flower density values of common British plant species [AgriLand] AND Baude, M., Kunin, Memmott, J. 2015. Nectar sugar values of common British plant species [AgriLand].;;;;;;;Europe;United Kingdom;Bristol area;-2.59;51.45;51.45;;2011-2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;194.31;;;;;;;;;;;;;;;;;;;;;
Vaccinium oxycoccos;Ericaceae;Vaccinium;modelled values;modelled;Baude et al. 2016;https://www.nature.com/articles/nature16532;;;;;Baude, M., Kunin, W. E., Boatman, M. D., Conyers, S., Davies, N., Gillespie, M. A. K., Morton, R. D., Smart, S. M., Memmott, J. 2016. Historical nectar assessment reveals the fall and rise of Britain in bloom. Nature, pp. 85-88.;;;;;;;Europe;United Kingdom;Bristol area;-2.59;51.45;51.45;;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;152;243;196;;92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vaccinium sp.;Ericaceae ;Vaccinium;data collected in the literature search in 2017-2018;unknown;Pamminger et al. 2019;https://peerj.com/articles/6329/;;;;;Pamminger, T., Becker, R., Himmelreich, S., Schneider, Ch. W., Bergtold, M. 2019. The nectar report: Quantitative review of nectar sugar concentrations offered by bee visited flowers in agricultural and non-agricultural landscapes. PeerJ. 7, pp. E6329.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20.00;;;;;;;;;;;;;;;;;;;;;;;;;;
Vaccinium sp.;Ericaceae ;Vaccinium;data collected in the literature search in 2017-2018;unknown;Pamminger et al. 2019;https://peerj.com/articles/6329/;;;;;Pamminger, T., Becker, R., Himmelreich, S., Schneider, Ch. W., Bergtold, M. 2019. The nectar report: Quantitative review of nectar sugar concentrations offered by bee visited flowers in agricultural and non-agricultural landscapes. PeerJ. 7, pp. E6329.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;55.00;;;;;;;;;;;;;;;;;;;;;;;;;;
Vaccinium uliginosum;Ericaceae;Vaccinium;;natural phytocenosis (coniferous or mixed forest);Szklanowska 1973;https://docplayer.pl/108510839-Bory-jako-bazapozytkowa-pszczol-instytut-przyrodniczych-podstaw-produkcji-roslinnej-akademia-rolnicza-w-lublinie-wprowadzenie.html;;;;;Szklanowska, K. 1973. Bory jako baza po¿ytkowa pszczó³ [Pine forests as a bee pasture]. Pszczelnicze Zeszyty Naukowe [Journal of Apicultural Science]. 17, pp. 51-85.;Vaccinio-Piceetea;;Piceetalia abietis;Dicrano-Pinion;Piceo-Vaccinienion uliginosi;Vaccinio uliginosi - Pinetum sylvestris;Europe;Poland;Zwierzyniec;22.98;50.61;50.61;;1969;5.9;-8.1;-5.1;-2.9;6.2;14.4;15.9;17.4;16.2;12.8;7.4;5.8;-8.2;437.0;17.0;14.0;25.0;23.0;50.0;92.0;70.0;67.0;5.0;25.0;28.0;21.0;;;;;;32.00;;398000;;;;;;;;;;;;;;1820.00;;;15.50;;279.00;;;;;;5.6;;;;;;;;;;;;;;;;;;
Vaccinium uliginosum;Ericaceae;Vaccinium;;natural phytocenosis (coniferous or mixed forest);Szklanowska 1973;https://docplayer.pl/108510839-Bory-jako-bazapozytkowa-pszczol-instytut-przyrodniczych-podstaw-produkcji-roslinnej-akademia-rolnicza-w-lublinie-wprowadzenie.html;;;;;Szklanowska, K. 1973. Bory jako baza po¿ytkowa pszczó³ [Pine forests as a bee pasture]. Pszczelnicze Zeszyty Naukowe [Journal of Apicultural Science]. 17, pp. 51-85.;Vaccinio-Piceetea;;Piceetalia abietis;Dicrano-Pinion;Piceo-Vaccinienion uliginosi;Vaccinio uliginosi - Pinetum sylvestris;Europe;Poland;Zwierzyniec;22.98;50.61;50.61;;1969-1971;;;;;;;;;;;;;;;;;;;;;;;;;;;140;166;152;;27.0;32.00;;432667;;;;;;;;;;;;;;1540.00;;;23.00;;333.00;;;;;;7.0;;;;;;;;;;;;;;;;;;
Vaccinium uliginosum;Ericaceae;Vaccinium;;natural phytocenosis (coniferous or mixed forest);Szklanowska 1973;https://docplayer.pl/108510839-Bory-jako-bazapozytkowa-pszczol-instytut-przyrodniczych-podstaw-produkcji-roslinnej-akademia-rolnicza-w-lublinie-wprowadzenie.html;;;;;Szklanowska, K. 1973. Bory jako baza po¿ytkowa pszczó³ [Pine forests as a bee pasture]. Pszczelnicze Zeszyty Naukowe [Journal of Apicultural Science]. 17, pp. 51-85.;Vaccinio-Piceetea;;Piceetalia abietis;Dicrano-Pinion;Piceo-Vaccinienion uliginosi;Vaccinio uliginosi - Pinetum sylvestris;Europe;Poland;Zwierzyniec;22.98;50.61;50.61;;1971;7.5;-4.1;-1.2;0.8;7.3;14.7;15.5;17.3;18.0;10.7;7.7;2.0;2.0;457.0;12.0;23.0;19.0;31.0;44.0;143.0;40.0;31.0;36.0;23.0;25.0;30.0;;;;;;32.00;;376000;;;;;;;;;;;;;;1100.00;;;37.80;;413.00;;;;;;7.4;;;;;;;;;;;;;;;;;;
Vaccinium uliginosum;Ericaceae;Vaccinium;;natural phytocenosis (coniferous or mixed forest);Szklanowska 1973;https://docplayer.pl/108510839-Bory-jako-bazapozytkowa-pszczol-instytut-przyrodniczych-podstaw-produkcji-roslinnej-akademia-rolnicza-w-lublinie-wprowadzenie.html;;;;;Szklanowska, K. 1973. Bory jako baza po¿ytkowa pszczó³ [Pine forests as a bee pasture]. Pszczelnicze Zeszyty Naukowe [Journal of Apicultural Science]. 17, pp. 51-85.;Vaccinio-Piceetea;;Piceetalia abietis;Dicrano-Pinion;Piceo-Vaccinienion uliginosi;Vaccinio uliginosi - Pinetum sylvestris;Europe;Poland;Zwierzyniec;22.98;50.61;50.61;;1970;6.8;-5.3;-5.5;0.5;7.7;11.9;16.0;17.1;16.4;11.6;6.5;4.3;0.5;719.0;37.0;24.0;36.0;63.0;130.0;48.0;145.0;42.0;71.0;33.0;49.0;41.0;;;;;;32.00;;524000;;;;;;;;;;;;;;1700.00;;;18.40;;305.00;;;;;;8.0;;;;;;;;;;;;;;;;;;
Vaccinium vitis-idaea;Ericaceae;Vaccinium;;natural phytocenosis (heathland);Baude et al. 2015a;https://catalogue.ceh.ac.uk/documents/6c6d3844-e95a-4f84-a12e-65be4731e934;Baude et al. 2015b;https://catalogue.ceh.ac.uk/documents/69402002-1676-4de9-a04e-d17e827db93c;;;Baude, M., Kunin, Memmott, J. 2015. Flower density values of common British plant species [AgriLand] AND Baude, M., Kunin, Memmott, J. 2015. Nectar sugar values of common British plant species [AgriLand].;;;;;;;Europe;United Kingdom;Brecon Beacons;-3.44;51.88;51.88;;2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;451;;;;;;;;;;;;;;183.74;;;;;;;;9.55;;;;;;;;;;;;;;;;;;;;;
Vaccinium vitis-idaea;Ericaceae;Vaccinium;modelled values;modelled;Baude et al. 2016;https://www.nature.com/articles/nature16532;;;;;Baude, M., Kunin, W. E., Boatman, M. D., Conyers, S., Davies, N., Gillespie, M. A. K., Morton, R. D., Smart, S. M., Memmott, J. 2016. Historical nectar assessment reveals the fall and rise of Britain in bloom. Nature, pp. 85-88.;;;;;;;Europe;United Kingdom;Bristol area;-2.59;51.45;51.45;;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;152;243;197;;92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vaccinium vitis-idaea;Ericaceae;Vaccinium;;natural phytocenosis (coniferous or mixed forest);Szklanowska 1973;https://docplayer.pl/108510839-Bory-jako-bazapozytkowa-pszczol-instytut-przyrodniczych-podstaw-produkcji-roslinnej-akademia-rolnicza-w-lublinie-wprowadzenie.html;;;;;Szklanowska, K. 1973. Bory jako baza po¿ytkowa pszczó³ [Pine forests as a bee pasture]. Pszczelnicze Zeszyty Naukowe [Journal of Apicultural Science]. 17, pp. 51-85.;Vaccinio-Piceetea;;Piceetalia abietis;Dicrano-Pinion;Dicrano-Pinenion;Peucedano-Pinetum;Europe;Poland;Zwierzyniec;22.98;50.61;50.61;;1969-1971;;;;;;;;;;;;;;;;;;;;;;;;;;;136;180;152;;45.0;27.00;;360000;;;;;;;;;;;;;;330.00;;;43.23;;134.00;;;;;;2.3;;;;;;;;;;;;;;;;;;
Vaccinium vitis-idaea;Ericaceae;Vaccinium;;natural phytocenosis (coniferous or mixed forest);Szklanowska 1973;https://docplayer.pl/108510839-Bory-jako-bazapozytkowa-pszczol-instytut-przyrodniczych-podstaw-produkcji-roslinnej-akademia-rolnicza-w-lublinie-wprowadzenie.html;;;;;Szklanowska, K. 1973. Bory jako baza po¿ytkowa pszczó³ [Pine forests as a bee pasture]. Pszczelnicze Zeszyty Naukowe [Journal of Apicultural Science]. 17, pp. 51-85.;Vaccinio-Piceetea;;Piceetalia abietis;Dicrano-Pinion;;;Europe;Poland;Zwierzyniec;22.98;50.61;50.61;;1971;7.5;-4.1;-1.2;0.8;7.3;14.7;15.5;17.3;18.0;10.7;7.7;2.0;2.0;457.0;12.0;23.0;19.0;31.0;44.0;143.0;40.0;31.0;36.0;23.0;25.0;30.0;;;;;;94.33;;774667;;;;;;;;;;;;;;240.00;;;56.60;;117.00;;;;;;3.4;;;;;;;;;;;;;;;;;;
