ID,Shannon,NrSpecies,location,landscape,replicate,bbspecies,intertegular_distance,glossa,prementum,proboscis_length,proboscis_ratio,fore_wing_length,fore_wing_ratio,corbicula_length,corbicula_ratio
22_ZHUB_p,1.7874167629800937,10,ZH,urban,B,B.lapidarius,3.39,4.37,2.66,7.03,2.07,11.2,3.3,3.09,0.91
22_ZHUC_l,0.6764321779800596,3,ZH,urban,C,B.pascuorum,3.02,4.84,1.97,6.81,2.25,9.28,3.07,3.27,1.08
22_ZHUC_p,1.1574079022126127,5,ZH,urban,C,B.lapidarius,3.29,6.74,2.66,9.4,2.86,10.21,3.1,3.51,1.07
23_BERD_p,0.06105482580664914,2,BE,rural,D,B.lapidarius,3.47,7.04,2.85,9.89,2.85,10.8,3.11,3.82,1.1
23_BEUA_p,0.8478451142685226,3,BE,urban,A,B.lapidarius,3.02,5.73,2.32,8.05,2.67,8.72,2.89,2.82,0.93
23_BEUB_p,1.121136109875757,9,BE,urban,B,B.lapidarius,3.47,7.04,2.81,9.85,2.84,10.6,3.05,3.56,1.03
23_BSRD_l,0,1,BS,rural,D,B.pascuorum,3.78,5.76,2.57,8.33,2.2,10.83,2.87,3.94,1.04
23_BSRD_p,0,1,BS,rural,D,B.lapidarius,3.74,7.73,2.98,10.71,2.86,11.47,3.07,3.77,1.01
23_BSRE_l,0.20018931357342776,2,BS,rural,E,B.pascuorum,3.53,5.38,2.33,7.71,2.18,10.48,2.97,3.4,0.96
23_BSRE_p,0.12091273637863584,3,BS,rural,E,B.lapidarius,3.3,6.47,2.82,9.29,2.82,9.97,3.02,3.27,0.99
23_BSRF_l,0,1,BS,rural,F,B.pascuorum,3.2,5.24,2.34,7.58,2.37,9.65,3.02,3.51,1.1
23_BSRF_p,1.012227092425995,4,BS,rural,F,B.lapidarius,3.27,6.83,2.75,9.58,2.93,10.42,3.19,3.45,1.06
23_BSUA_l,1.3507391377875657,7,BS,urban,A,B.pascuorum,3.45,5.43,2.26,7.69,2.23,10.37,3.01,3.46,1
23_BSUA_p,0.7309603821025712,4,BS,urban,A,B.lapidarius,3.48,4.87,2.66,7.53,2.16,10.56,3.03,3.58,1.03
23_BSUB_l,1.6937206396041282,10,BS,urban,B,B.pascuorum,3.54,4.06,2.55,6.61,1.87,11.42,3.23,3.95,1.12
23_BSUB_p,0.06782996126416224,2,BS,urban,B,B.lapidarius,3.2,6.31,3.53,8.84,2.76,9.9,3.09,3.52,1.1
23_BSUC_l,1.6655955556748965,10,BS,urban,C,B.pascuorum,3.03,4.96,2.19,7.15,2.36,9.31,3.07,3.05,1.01
23_BSUC_p,0.7557619225172785,6,BS,urban,C,B.lapidarius,3.23,6.62,2.57,9.19,2.85,10.29,3.19,3.4,1.05
23_ZHRD_l,1.4644282328038194,11,ZH,rural,D,B.pascuorum,3.48,5.57,2.37,7.94,2.28,10.9,3.13,3.66,1.05
23_ZHRD_p,1.2855831406461915,6,ZH,rural,D,B.lapidarius,2.74,5.19,2.25,7.44,2.72,8.25,3.01,2.8,1.02
23_ZHRE_l,0.44151429990076846,5,ZH,rural,E,B.pascuorum,3.02,5.08,2.2,7.28,2.41,9.73,3.22,3.45,1.14
23_ZHRE_p,1.2813497736022552,7,ZH,rural,E,B.lapidarius,3.32,6.72,2.7,9.42,2.84,10.35,3.12,3.38,1.02
23_ZHRF_l,0.5580977013402586,4,ZH,rural,F,B.pascuorum,3.74,6.2,2.69,8.89,2.38,11.64,3.11,3.82,1.02
23_ZHRF_p,0.08528135293479353,2,ZH,rural,F,B.lapidarius,3.87,7.47,2.93,10.4,2.69,11.58,2.99,3.88,1
23_ZHUA_l,1.4646666999834093,8,ZH,urban,A,B.pascuorum,2.72,4.6,2.07,6.67,2.45,9.21,3.39,3.06,1.13
23_ZHUA_p,0.3395059335573995,3,ZH,urban,A,B.lapidarius,3.28,4.76,2.45,7.21,2.2,10.38,3.16,3.43,1.05
23_ZHUB_l,0.10415678014610258,2,ZH,urban,B,B.pascuorum,3.44,5.18,2.24,7.42,2.16,10.42,3.03,3.5,1.02
23_ZHUB_p,0.09955927268487652,2,ZH,urban,B,B.lapidarius,3.5,6.01,1.71,7.72,2.21,12,3.43,3.66,1.05
23_ZHUC_l,0.8174573515457679,5,ZH,urban,C,B.pascuorum,3.54,5.74,2.52,8.26,2.33,10.78,3.05,3.75,1.06
23_ZHUC_p,0.7063621191972789,5,ZH,urban,C,B.lapidarius,3.13,6.29,2.42,8.71,2.78,10.03,3.2,3.37,1.08
24_BERD_p,0,1,BE,rural,D,B.lapidarius,3.64,7.2,2.87,10.07,2.77,11.08,3.04,3.77,1.04
24_BEUA_p,0.16067082389974766,2,BE,urban,A,B.lapidarius,3.22,7.11,2.62,9.73,3.02,10.69,3.32,3.62,1.12
24_BEUB_l,0.5814459162555835,6,BE,urban,B,B.pascuorum,3.23,5.23,2.32,7.55,2.34,9.78,3.03,3.35,1.04
24_BEUB_p,0.09990524656997193,2,BE,urban,B,B.lapidarius,3.02,6.32,2.62,8.94,2.96,9.8,3.25,3.37,1.12
24_BSRD_l,0.7324518157011211,4,BS,rural,D,B.pascuorum,3.55,5.73,2.27,8,2.25,10.69,3.01,3.67,1.03
24_BSRD_p,0,1,BS,rural,D,B.lapidarius,3.64,7.21,2.88,10.09,2.77,11.03,3.03,3.83,1.05
24_BSRE_l,1.1096145277473588,5,BS,rural,E,B.pascuorum,3.36,5.45,2.5,7.95,2.37,10.34,3.08,3.48,1.04
24_BSRE_p,0,1,BS,rural,E,B.lapidarius,3.37,6.44,2.65,9.09,2.7,9.94,2.95,3.33,0.99
24_BSRF_l,0.5726399204008044,2,BS,rural,F,B.pascuorum,3.77,5.72,2.51,8.23,2.18,11.01,2.92,3.79,1.01
24_BSRF_p,1.2248668452648226,7,BS,rural,F,B.lapidarius,3.19,6.3,2.6,8.9,2.79,9.21,2.89,3.33,1.04
24_BSUA_l,0.6270784962409367,4,BS,urban,A,B.pascuorum,2.86,4.66,1.98,6.64,2.32,8.9,3.11,2.97,1.04
24_BSUA_p,0.962990967231729,5,BS,urban,A,B.lapidarius,3.21,4.3,2.53,6.83,2.13,9.92,3.09,3.25,1.01
24_BSUB_l,0.8875360177421592,8,BS,urban,B,B.pascuorum,3.14,4.61,2.03,6.64,2.11,9.39,2.99,3.06,0.97
24_BSUB_p,0.6854806576160425,7,BS,urban,B,B.lapidarius,3.87,5.66,2.87,8.53,2.2,11.69,3.02,3.89,1.01
24_BSUC_l,1.0168533521321301,9,BS,urban,C,B.pascuorum,3.87,6.49,2.68,9.17,2.37,11.71,3.03,3.97,1.03
24_BSUC_p,0.9583812216823514,5,BS,urban,C,B.lapidarius,3.54,7.33,2.86,10.19,2.88,11.32,3.2,3.79,1.07
24_ZHRD_l,0.4369275176514397,4,ZH,rural,D,B.pascuorum,3.33,5.17,2.16,7.33,2.2,9.77,2.93,3.17,0.95
24_ZHRD_p,0.4874274095801045,5,ZH,rural,D,B.lapidarius,3.35,6.34,2.51,8.85,2.64,9.66,2.88,3.08,0.92
24_ZHRE_l,0.6136663976840273,4,ZH,rural,E,B.pascuorum,3.66,6.15,2.58,8.73,2.39,11.42,3.12,4.04,1.1
24_ZHRE_p,1.303751963690908,8,ZH,rural,E,B.lapidarius,3.37,6.81,2.68,9.49,2.82,10.39,3.08,3.46,1.03
24_ZHRF_l,0.3818837431962747,3,ZH,rural,F,B.pascuorum,3.16,4.97,2.2,7.17,2.27,9.85,3.12,3.21,1.02
24_ZHRF_p,0.8740626197871424,5,ZH,rural,F,B.lapidarius,3.06,6.43,2.54,8.97,2.93,9.81,3.21,3.5,1.14
24_ZHUA_l,1.154800830377473,6,ZH,urban,A,B.pascuorum,2.95,5.05,2.24,7.29,2.47,9.54,3.23,3.32,1.13
24_ZHUA_p,0.4819085920195675,2,ZH,urban,A,B.lapidarius,2.9,5.64,2.18,7.82,2.7,8.83,3.04,2.81,0.97
24_ZHUB_l,1.1571039913767278,7,ZH,urban,B,B.pascuorum,3.53,5.73,2.54,8.27,2.34,10.34,3.45,3.79,1.07
24_ZHUB_p,0.552183142970004,2,ZH,urban,B,B.lapidarius,3.54,7.39,2.8,10.19,2.88,11.5,3.25,3.67,1.04
24_ZHUC_l,1.1249836727390836,4,ZH,urban,C,B.pascuorum,3.19,5.39,2.38,7.77,2.44,9.96,3.12,3.36,1.05
24_ZHUC_p,2.0008826206996706,16,ZH,urban,C,B.lapidarius,3.33,6.97,2.77,9.74,2.92,10.74,3.23,3.59,1.08
25_BERD_p,0.06978716129099728,2,BE,rural,D,B.lapidarius,3.54,7.4,2.91,10.31,2.91,10.47,2.96,4.17,1.18
25_BEUA_p,0.868291243573902,4,BE,urban,A,B.lapidarius,3.16,6.52,2.53,9.05,2.86,10.41,3.29,3.22,1.02
25_BEUB_l,1.9512268189669209,13,BE,urban,B,B.pascuorum,3.5,5.89,2.56,8.45,2.41,11.1,3.17,3.87,1.11
25_BEUB_p,1.7991292420650524,9,BE,urban,B,B.lapidarius,3.18,6.05,2.64,9.89,3.11,10.96,3.19,2.73,0.86
25_BSRD_l,0.1844318507883964,3,BS,rural,D,B.pascuorum,3.58,6,2.6,8.6,2.4,11.2,3.13,3.98,1.11
25_BSRD_p,0,1,BS,rural,D,B.lapidarius,3.45,6.88,2.73,9.61,2.79,10.55,3.06,3.54,1.03
25_BSRE_l,0.06969753208792802,2,BS,rural,E,B.pascuorum,2.93,4.78,2.13,6.91,2.36,8.89,3.03,2.97,1.01
25_BSRE_p,0.7356100478822242,3,BS,rural,E,B.lapidarius,3.52,7.13,2.81,9.94,2.82,10.44,2.97,3.71,1.05
25_BSRF_l,0.3608034791475333,3,BS,rural,F,B.pascuorum,3.32,5.53,2.35,7.88,2.37,10.41,3.14,3.73,1.12
25_BSRF_p,0.6335791940210859,4,BS,rural,F,B.lapidarius,3.92,8.05,3.15,11.2,2.86,11.93,3.04,3.98,1.02
25_BSUA_l,1.2264978752313471,7,BS,urban,A,B.pascuorum,3.31,5.73,2.49,8.22,2.48,10.51,3.18,3.43,1.04
25_BSUA_p,0.6906091982003646,2,BS,urban,A,B.lapidarius,2.97,5.56,2.26,7.82,2.63,9.22,3.1,3.03,1.02
