"","ID","Shannon","NrSpecies","location","landscape","replicate","bbspecies","bborgan","site"
"907","22_BSRF_lL",0.0837643777646317,2,"BS","R","F","B.pascuorum","L","BS_R"
"908","22_BSRF_pB",0.666945940351907,5,"BS","R","F","B.lapidarius","B","BS_R"
"909","22_BSRF_pL",0.0891040152406116,2,"BS","R","F","B.lapidarius","L","BS_R"
"910","22_BSUA_lB",0.943204412275171,5,"BS","U","A","B.pascuorum","B","BS_U"
"911","22_BSUA_pB",1.92153112491727,12,"BS","U","A","B.lapidarius","B","BS_U"
"912","22_BSUB_lB",1.65091759936677,7,"BS","U","B","B.pascuorum","B","BS_U"
"913","22_BSUB_pB",1.49537921046813,6,"BS","U","B","B.lapidarius","B","BS_U"
"914","22_BSUB_pL",1.12368522008861,8,"BS","U","B","B.lapidarius","L","BS_U"
"915","22_BSUC_lB",0.517911222172068,5,"BS","U","C","B.pascuorum","B","BS_U"
"916","22_BSUC_pB",1.15467889025617,8,"BS","U","C","B.lapidarius","B","BS_U"
"917","22_ZHRD_lB",1.68621123128586,10,"ZH","R","D","B.pascuorum","B","ZH_R"
"918","22_ZHRD_pB",1.12819230697033,5,"ZH","R","D","B.lapidarius","B","ZH_R"
"919","22_ZHRD_pL",1.13636615172754,5,"ZH","R","D","B.lapidarius","L","ZH_R"
"920","22_ZHRE_lB",1.08867764636139,6,"ZH","R","E","B.pascuorum","B","ZH_R"
"921","22_ZHRE_pB",1.51094829416694,8,"ZH","R","E","B.lapidarius","B","ZH_R"
"922","22_ZHRF_lB",0.249539079136167,3,"ZH","R","F","B.pascuorum","B","ZH_R"
"923","22_ZHRF_pB",0.364892194022511,4,"ZH","R","F","B.lapidarius","B","ZH_R"
"924","22_ZHRF_pL",0.11135532200865,2,"ZH","R","F","B.lapidarius","L","ZH_R"
"925","22_ZHUA_lB",1.35994602382136,8,"ZH","U","A","B.pascuorum","B","ZH_U"
"926","22_ZHUA_pB",0,1,"ZH","U","A","B.lapidarius","B","ZH_U"
"927","22_ZHUA_pL",0,1,"ZH","U","A","B.lapidarius","L","ZH_U"
