Taxon_Id,Species,occ,Years (min),Years (max)
1049780,Vicia pannonica Crantz,0,1966,1966
1049820,Vicia sativa L.,45,1899,2022
1049830,Vicia sativa L. subsp. sativa,12,1982,2019
1049850,Vicia sativa subsp. nigra (L.) Ehrh.,14,1899,2019
1049860,Vicia sepium L.,65,1936,2022
1049890,Vicia tetrasperma (L.) Schreb.,2,1883,2009
1049900,Vicia villosa Roth,1,1898,1898
1049920,Vicia villosa subsp. varia (Host) Corb.,1,1898,1898
1049950,Vinca minor L.,33,1876,2022
1049970,Viola alba Besser,4,1966,2022
1050000,Viola arvensis Murray,16,1982,2019
1050170,Viola hirta L.,9,1982,2017
1050200,Viola mirabilis L.,3,1951,2016
1050210,Viola odorata L.,55,1966,2022
1050230,Viola persicifolia auct.,50,1852,1966
1050270,Viola reichenbachiana Boreau,34,1952,2022
1050280,Viola riviniana Rchb.,27,1952,2021
1050290,Viola rupestris F. W. Schmidt,0,1966,1966
1050340,Viola tricolor L.,14,1982,2021
1050330,Viola tricolor aggr.,37,1982,2021
1050380,Viscum album L.,14,1899,2022
1050390,Viscum album L. subsp. album,7,1899,2021
1050400,Viscum album subsp. abietis (Wiesb.) Abrom.,2,2016,2016
1050440,Vitis vinifera L.,5,2014,2016
1050450,Vulpia bromoides (L.) Gray,1,2019,2019
1050470,Vulpia myuros (L.) C. C. Gmel.,28,1982,2022
1050500,Waldsteinia geoides Willd.,12,2013,2016
1050510,Waldsteinia ternata (Stephan) Fritsch,3,2014,2022
1050540,Wisteria sinensis (Sims) Sweet,3,2013,2013
1050680,Zannichellia palustris L.,2,1982,2014
1050690,Zea mays L.,2,1982,2015
