"","sp_richn","fdis","fmpd","fori","fspe","fide_PC1","fide_PC2","fide_PC3","fide_PC4"
"23_BSRD_p",1,0,NA,0.000177047047776814,0.404840688627453,-0.157834987307544,0.121568543584822,-0.00560102849698033,-0.00214512042707813
"23_BSRE_p",3,0.119398148779516,0.131428926553985,0.0017141000310119,0.350403539643082,-0.145436336100662,0.0838562558155333,-0.0190024993980118,-0.00231866325270028
"23_BSRF_p",4,0.15231838842899,0.151523284552712,0.00194515939616757,0.314225500283676,-0.133771362497604,0.0680392849745426,-0.0149220724181484,0.000313699585563651
"23_BSUA_p",4,0.185872507913387,0.184061106454975,0.00153986009213859,0.315271209090249,-0.134569221121172,0.0578573264128242,-0.0124821771914783,-0.00757870390091616
"23_BSUB_p",2,0.0401693831062911,0.0513896958585489,0.00176055143845978,0.382887198916292,-0.152487719819002,0.11020268648834,-0.00908057494977447,-0.00125590166004332
"23_BSUC_p",6,0.256756690472503,0.2628948310877,0.00852502535400875,0.288795843224661,-0.102301864050365,0.0326820533441712,-0.00994786330583413,-0.00493222737386282
"23_ZHRD_p",6,0.50386710238914,0.47888344323171,0.100483825339954,0.353126905552938,-0.0113438903407865,0.087555127116211,-0.0188735508846553,0.0136982885934496
"23_ZHRE_p",8,0.321281194386186,0.305056732567641,0.0180552947649873,0.296461132000793,-0.0878637674858859,0.0352568614535622,0.00501442235916775,0.00260209069974023
"23_ZHRF_p",2,0.448795870892773,0.57415577547518,0.0749218120119838,0.358521572032049,-0.0147630839867069,0.0983927014463199,-0.0209797673483841,0.00569474095615232
"23_ZHUA_p",3,0.119398148779516,0.131428926553985,0.0017141000310119,0.350403539643082,-0.145436336100662,0.0838562558155333,-0.0190024993980118,-0.00231866325270028
"23_ZHUB_p",2,0.34585921355435,0.442466336796975,0.00253488402418439,0.255988014260178,-0.058302470171886,0.0713867661349177,0.00929812275655429,-0.00450304198278377
"23_ZHUC_p",5,0.266522775649194,0.268653238676208,0.00463498643915705,0.25989651352029,-0.0916030969129643,0.0444526598892065,-0.0059936285013029,-0.000481219391021111
"24_BERD_p",1,0,NA,0.000177047047776814,0.404840688627453,-0.157834987307544,0.121568543584822,-0.00560102849698033,-0.00214512042707813
"24_BEUA_p",2,0.153630107267541,0.196542836276684,0.000899122131946477,0.345138454862058,-0.144584277985764,0.0763659690273711,-0.0222236883957334,-0.00329465343254617
"24_BEUB_p",2,0.364763578766447,0.466651163735393,0.0149693328330423,0.272990212768823,-0.0532517658268891,0.069909534762372,0.00381170084742095,-0.0216007646040522
"24_BSRD_p",1,0,NA,0.000177047047776814,0.404840688627453,-0.157834987307544,0.121568543584822,-0.00560102849698033,-0.00214512042707813
"24_BSRE_p",1,0,NA,0.000177047047776814,0.404840688627453,-0.157834987307544,0.121568543584822,-0.00560102849698033,-0.00214512042707813
"24_BSRF_p",7,0.242017504327993,0.227100385490068,0.01213625272192,0.295279911375614,-0.11166864880621,0.0470049466666308,-0.0147807433019453,-0.00687150684189938
"24_BSUA_p",5,0.346801098918017,0.32715708571238,0.0130282353290645,0.265615722924729,-0.0704134583733059,0.0465023887758116,0.0039249434659432,-0.00615023717759253
"24_BSUB_p",7,0.385071719472903,0.349327179924918,0.0440813578362774,0.261576567755269,-0.0211039300985686,0.040810848421067,0.000170583521616328,-0.00234021849371228
"24_BSUC_p",5,0.177696635959179,0.171923918922958,0.0010284600186072,0.319537539711186,-0.138837834592719,0.0446828639943308,-0.0211868864495876,-0.00739021714398477
"24_ZHRD_p",7,0.383521553881667,0.358864494812372,0.0451228807638061,0.324345857217707,-0.0724844046484383,0.0391888204509087,-0.00233513555214232,-0.00191984610976498
"24_ZHRE_p",9,0.358854830431161,0.3283504403293,0.0311274308058127,0.279630598918313,-0.0684489821102801,0.00244661497358826,-0.000701101163779031,0.00620413004829239
"24_ZHRF_p",5,0.284855251612403,0.250424094879893,0.0377329047744528,0.368816089117399,-0.0970073752267925,0.102008599062677,-0.015031226974771,-0.000469925793590644
"24_ZHUA_p",4,0.352884797666701,0.320450833730687,0.0346328998302184,0.353082924645123,-0.0882363662367794,0.0765267578475261,-0.0110526520180254,-0.00611265358261697
"24_ZHUB_p",2,0.34585921355435,0.442466336796975,0.00253488402418439,0.255988014260178,-0.058302470171886,0.0713867661349177,0.00929812275655429,-0.00450304198278377
"24_ZHUC_p",16,0.390894451442783,0.348825233444958,0.0435870270549607,0.285506434671009,-0.0449487060081518,0.0501270548956774,-0.0103215939893359,0.0011281224205787
"25_BERD_p",2,0.153630107267541,0.196542836276684,0.000899122131946477,0.345138454862058,-0.144584277985764,0.0763659690273711,-0.0222236883957334,-0.00329465343254617
"25_BEUA_p",5,0.323049374149458,0.316857312954245,0.0339117860879892,0.32399035580192,-0.0861628734789054,0.062355060582794,-0.023643029035193,0.00233733855363036
"25_BEUB_p",8,0.369309806050486,0.335774397122969,0.0139513795477751,0.292823677076858,-0.0609677805144701,0.0533084330362081,-0.00929807519756518,-0.00581200884583966
"25_BSRD_p",1,0,NA,0.000177047047776814,0.404840688627453,-0.157834987307544,0.121568543584822,-0.00560102849698033,-0.00214512042707813
"25_BSRE_p",3,0.119398148779516,0.131428926553985,0.0017141000310119,0.350403539643082,-0.145436336100662,0.0838562558155333,-0.0190024993980118,-0.00231866325270028
"25_BSRF_p",3,0.213701009747817,0.253004813103035,0.0228548997716351,0.328490394460987,-0.139215750757068,0.0294755319341236,-0.0221167572084136,-0.00230353142149893
"25_BSUA_p",2,0.370477270164987,0.473960831957671,0.00959781329119918,0.249763691098913,-0.0576596670808765,0.0551889581764973,0.00108099623656745,-0.00778244435759529
"25_BSUB_p",1,0,NA,0.000177047047776814,0.404840688627453,-0.157834987307544,0.121568543584822,-0.00560102849698033,-0.00214512042707813
"25_BSUC_p",2,0.0401693831062911,0.0513896958585489,0.00176055143845978,0.382887198916292,-0.152487719819002,0.11020268648834,-0.00908057494977447,-0.00125590166004332
"25_ZHRD_p",8,0.370090224972885,0.316373167297108,0.0370268142403356,0.310143653317004,-0.0603946428352477,0.0724593335932395,-0.0131400481754237,-0.00488145636720447
"25_ZHRE_p",7,0.372863459763573,0.344347135361586,0.0421937553134148,0.269976296025672,-0.0406846130999807,0.0442869671827498,-0.00959633715903492,0.00583795782925576
"25_ZHRF_p",4,0.343748594898359,0.339012807108902,0.0387022192673066,0.340853268591473,-0.0770000472419643,0.0816964066886044,-0.0233415010984558,0.00164465314532048
"25_ZHUA_p",2,0.153630107267541,0.196542836276684,0.000899122131946477,0.345138454862058,-0.144584277985764,0.0763659690273711,-0.0222236883957334,-0.00329465343254617
"25_ZHUB_p",1,0,NA,0.000177047047776814,0.404840688627453,-0.157834987307544,0.121568543584822,-0.00560102849698033,-0.00214512042707813
"25_ZHUC_p",5,0.463779313434647,0.476835322622945,0.153806505864738,0.338464990848351,0.0259242179647871,-0.00501954451119102,0.0388364615409164,-0.073284392593818
"26_BERD_p",1,0,NA,0.000177047047776814,0.404840688627453,-0.157834987307544,0.121568543584822,-0.00560102849698033,-0.00214512042707813
"26_BEUA_p",2,0.0401693831062911,0.0513896958585489,0.00176055143845978,0.382887198916292,-0.152487719819002,0.11020268648834,-0.00908057494977447,-0.00125590166004332
"26_BEUB_p",5,0.379741975413591,0.37993815860638,0.111302759349864,0.346913343101048,0.0798818109816644,0.0287933287621806,-0.0526250222675445,0.00533490530902539
"26_BSRD_p",1,0,NA,0.000177047047776814,0.404840688627453,-0.157834987307544,0.121568543584822,-0.00560102849698033,-0.00214512042707813
"26_BSRE_p",1,0,NA,0.000177047047776814,0.404840688627453,-0.157834987307544,0.121568543584822,-0.00560102849698033,-0.00214512042707813
"26_BSRE_pL_E",1,0,NA,0.000177047047776814,0.404840688627453,-0.157834987307544,0.121568543584822,-0.00560102849698033,-0.00214512042707813
"26_BSRE_pL_F",5,0.218018300492774,0.20556620989125,0.03274806154506,0.321430668865211,-0.137950840184723,0.0266648533614712,-0.021792908210098,-0.00213178549273702
"26_BSRF_p",4,0.15231838842899,0.151523284552712,0.00194515939616757,0.314225500283676,-0.133771362497604,0.0680392849745426,-0.0149220724181484,0.000313699585563651
"26_BSUA_p",3,0.175197362372083,0.184577865623061,0.00117370095897326,0.351797818051846,-0.146500147598753,0.0702803110665754,-0.0157493057624516,-0.01284186790134
"26_BSUB_p",4,0.304364193625916,0.301447045137067,0.0183225115606145,0.270594697087566,-0.0903153581405628,0.0515705251870568,0.00215916268621208,-0.000871330189347212
"26_BSUC_p",4,0.23336859744388,0.227455494964958,0.040935076931325,0.337573830255581,-0.141599759855065,0.0379785686263371,-0.0222810935960984,-0.00416940797144889
"26_ZHRD_p",2,0.327396405187937,0.418846404568142,0.00170493717560503,0.279971360563588,-0.0580580530744602,0.0886235683920968,0.00855854608934981,-0.0119630169006182
"26_ZHRE_p",1,0,NA,0.000177047047776814,0.404840688627453,-0.157834987307544,0.121568543584822,-0.00560102849698033,-0.00214512042707813
"26_ZHRF_p",1,0,NA,0.000177047047776814,0.404840688627453,-0.157834987307544,0.121568543584822,-0.00560102849698033,-0.00214512042707813
"26_ZHUA_p",2,0.0510271681992115,0.0652803317228391,0.00757922001064551,0.221871715831205,-0.103121006768809,0.0314500313892566,0.00384910484573693,0.0102700256862746
"26_ZHUB_p",7,0.262100363503971,0.247613250168972,0.0370617312800465,0.207727210168384,-0.0565110595515273,0.0480299317764533,0.0128804815944647,-0.00244606706378286
"26_ZHUC_p",9,0.36924355300058,0.341552102799093,0.0492272812867826,0.272375256432906,-0.0476441816361038,0.0220203503299838,0.000944965192110241,0.0120022248186863
"27_BERD_p",5,0.295606645508176,0.299383961943885,0.00225025359721314,0.270737276984589,-0.0956790286386875,0.0109836997675,-0.0134095895390717,0.00616493262196324
